sf_name,sf_tel,sf_latitude,sf_longitude,sf_addr
더편한주간보호센터,053-944-8899,35.82875788,128.5494129,대구광역시 달서구 월배로 379  2층 (송현동)
동행재가노인복지센터,053-641-3198,35.82947334,128.544714,대구광역시 달서구 송현로 136-1  3층 (송현동)
두드림재가노인복지센터,053-525-2325,35.846284,128.5385412,대구광역시 달서구 와룡로32길 21  2층 (감삼동)
두루재가복지센터,053-655-0629,35.85349482,128.5523629,대구광역시 달서구 야외음악당로39서길 29  1층 (두류동)
두류숲재가센터,053-256-6666,35.8448315,128.5527012,대구광역시 달서구 장기로10길 51  1층 (성당동)
마실재가노인복지센터,053-626-1009,35.85048245,128.5719929,대구광역시 달서구 성당로 195  2층 (성당동)
만수무강 재가노인복지센터,053-635-8899,35.82123394,128.5247814,대구광역시 달서구 조암남로16길 6  2층 (월성동)
바른재가노인복지센터,053-636-7737,35.81876425,128.5489455,대구광역시 달서구 송현로7안길 23-21  1층 (상인동)
백세청춘재활주간보호센터,053-633-1003,35.81132254,128.5157197,대구광역시 달서구 달서대로 4  2층 (유천동  유천빌딩)
베데스다재가노인복지센터,053-286-3214,35.82967541,128.5458664,대구광역시 달서구 월배로69안길 47  1층 (송현동)
봄날재가장기요양기관,053-633-1158,35.81679772,128.5251615,대구광역시 달서구 월배로23길 55-9  1층 (진천동)
사랑모아 재가노인복지센터,053-567-0110,35.84692935,128.5393427,대구광역시 달서구 감삼남2길 17  1층 (감삼동)
사랑재가노인복지센터,053-721-7205,35.85322028,128.5353997,대구광역시 달서구 와룡로45길 32 (죽전동)
삼성 튼튼재활 주간보호센터,053-631-8891,35.81990311,128.5240643,대구광역시 달서구 조암남로 85  3층 306-308호 (월성동)
삼익신협재가노인복지센터,053-653-7100,35.86079189,128.5685683,대구광역시 달서구 달구벌대로 1862  B동 5층 (두류동)
상록수기억학교,053-592-8882,35.83081051,128.5196314,대구광역시 달서구 월곡로99길 45  5층 (월성동)
상록수노인종합복지센터,053-652-6080,35.8341425,128.5544864,대구광역시 달서구 월배로 455  2층 (송현동)
상윤재가노인복지센터,053-214-0901,35.80963078,128.5495906,대구광역시 달서구 상인로5길 15-3  1층 (상인동)
성서노인복지센터,053-581-5688,35.85003797,128.5149745,대구광역시 달서구 성서동로65길 15 (이곡동)
성서재가노인돌봄센터,053-716-6126,35.8433635,128.5325326,대구광역시 달서구 장기로 253-1  3층 (장기동)
성심재활주간보호센터,053-241-3030,35.8341425,128.5544864,대구광역시 달서구 월배로 455  5층 (송현동)
송덕재가노인복지센터,053-288-9333,35.80298676,128.529828,대구광역시 달서구 갈밭로 40  3층 (대곡동)
송현재가복지센터,053-652-6014,35.82659559,128.5550868,대구광역시 달서구 월배로80길 96-11  A동 1층 (송현동)
수현보호복지센터,053-628-7733,35.82455879,128.5511326,대구광역시 달서구 앞산순환로49안길 58  1층 (송현동)
스마일시니어 넘버원재가노인복지센터,053-253-2334,35.85357186,128.5433956,대구광역시 달서구 당산로41길 86  1층 (감삼동)
스마일으뜸재가방문요양센터,053-657-6901,35.83960514,128.5563067,대구광역시 달서구 대명천로12안길 50  1층 (성당동)
시온재가복지센터,053-716-9191,35.80768797,128.5120225,대구광역시 달서구 비슬로542길 30  2층 (대곡동)
실버웰재가노인복지센터,053-644-4302,35.83158937,128.533151,대구광역시 달서구 월성로 20  2층 (월성동)
영웅재가복지센터,053-586-0655,35.85495822,128.5109985,대구광역시 달서구 이곡공원로 32  517호 (이곡동)
예성재가노인복지센터,053-262-0365,35.81256223,128.5270369,대구광역시 달서구 진천로8길 33  1층 (진천동)
온마음재가방문요양센터,053-285-7676,35.85434616,128.5395923,대구광역시 달서구 죽전1안길 52  1층 (죽전동)
용산주간보호센터,053-572-5004,35.85053058,128.5321931,대구광역시 달서구 달구벌대로301길 14  2층 (용산동)
우리동네재가노인복지센터,053-639-9998,35.79580752,128.5288288,대구광역시 달서구 한실로6길 134  3층 301호 (대곡동)
우리집주간보호센터,053-636-2700,35.82541672,128.528749,대구광역시 달서구 조암로 9  4층 401  402호 (월성동)
월성재가노인돌봄센터,053-636-7300,35.83158937,128.533151,대구광역시 달서구 월성로 20  401호 (월성동  건도파라다이스)
정다운재가복지센터,053-719-2307,35.84011473,128.5493918,대구광역시 달서구 야외음악당로7길 62  1층 (성당동)
정성재가노인복지센터,053-522-4029,35.83544715,128.5411796,대구광역시 달서구 구마로26길 40  1층 (본동)
조은요양재활전문주간보호센터,053-629-1190,35.84696524,128.5453542,대구광역시 달서구 당산로 110  4 5층 (성당동)
주은재가노인복지센터,053-637-6008,35.81666535,128.5224494,대구광역시 달서구 진천로 93  512호 (대천동)
참평안케어재가복지센터,053-643-3377,35.83157686,128.5298747,대구광역시 달서구 학산로7길 39  상가 102호 (월성동  월성주공3단지)
카리타스노인복지센터,053-635-9913,35.8437643,128.5315832,대구광역시 달서구 장기로 264  2층 (장기동)
평화노인주간복지센터,053-637-7005,35.81666535,128.5224494,대구광역시 달서구 진천로 93  702호 (대천동  애플플라자)
하랑재가노인복지센터,053-262-7910,35.80999559,128.5265441,대구광역시 달서구 진천로 12  2층 (진천동)
햇살노인복지센터,053-721-8953,35.85899753,128.523215,대구광역시 달서구 선원로 279  201호 (용산동)
햇살주간보호센터,053-644-9250,35.82193826,128.528593,대구광역시 달서구 조암남로 38  601호 (월성동)
헤아림재활주간보호센터,053-657-2229,35.83366345,128.544953,대구광역시 달서구 학산로 170  2층 (송현동  덕수빌딩)
현대재가복지센터,053-267-7826,35.8106174,128.5286174,대구광역시 달서구 상화북로5길 5  1층 (진천동)
효경재가노인복지센터,053-721-7874,35.85829241,128.5653505,대구광역시 달서구 파도고개로 222  지하1층 (두류동)
효빛재가복지센터,053-625-4992,35.8332218,128.5469312,대구광역시 달서구 월배로85길 109  2층 (송현동)
효언재가노인복지센터,053-292-9989,35.82394158,128.5341621,대구광역시 달서구 학산남로 13  203호 (월성동)
효재가노인복지센터,053-586-3816,35.85508741,128.4952555,대구광역시 달서구 서당로7길 6  402호 (신당동)
휴청명실버주간보호센터,053-628-0001,35.82964799,128.5479249,대구광역시 달서구 송현동2길 36  1 2층 (송현동)
