sf_name,sf_tel,sf_latitude,sf_longitude,sf_addr
동서1차아파트할머니경로당,,35.8872241,128.635124,대구광역시 동구 아양로39길 16 (신암동)
청기와아파트경로당,053-943-8664,35.8879848,128.6390269,대구광역시 동구 아양로49길 20 (신암동)
동신우방아파트경로당,,35.8715759,128.6147663,대구광역시 동구 송라로11길 86 (신천동)
신일경로당,053-428-0048,35.8684387,128.6177949,대구광역시 동구 국채보상로165길 3-1 (신천동)
우방푸른타운경로당,053-421-6554,35.8704334,128.615074,대구광역시 동구 국채보상로159길 41 (신천동)
신천2주공APT경로당,053-423-7212,35.8726752,128.613652,대구광역시 동구 국채보상로 155길 54 (신천동)
송라경로당,070-8125-9805,35.87572,128.6157174,대구광역시 동구 동부로3길 38 (신천동)
신천LH경로당,053-423-3430,35.8747601,128.613539,대구광역시 동구 동부로 1 (신천동)
신천경로당,053-422-4333,35.8707142,128.618916,대구광역시 동구 송라로7길 10 (신천동)
신천역더뷰파크아파트경로당,,35.8732192,128.6143255,대구광역시 동구 동부로 20  관리동 (신천동 관리)
신천동서맨션경로당,,35.8687949,128.6149774,대구광역시 동구 국채보상로155길 8 (신천동)
신천역센트럴리버파크경로당,053-255-0068,35.864188,128.692047,대구광역시 동구 동부로 26 (신천동  신천휴먼시아5단지)
신천휴먼시아6단지아파트경로당,053-422-4550,35.8708863,128.6171243,대구광역시 동구 송라로11길 39 (신천동)
신천3동제3경로당,053-751-6015,35.8764201,128.6203408,대구광역시 동구 동부로15길 26-6(신천동)
신천3동제2경로당,053-756-8088,35.8698931,128.6207064,대구광역시 동구 송라로 28-5 (신천동)
신천3동제1경로당,053-754-5251,35.8737388,128.6186782,대구광역시 동구 송라로12길 5-1 (신천동)
동대구삼환나우빌경로당,053-751-4338,35.8756925,128.6211153,대구광역시 동구 동부로 81 (신천동)
동양상가아파트경로당,053-759-9086,35.8683572,128.6243109,대구광역시 동구 장등로 12 (신천동)
신천청아람경로당,053-755-7740,35.8736234,128.6221038,대구광역시 동구 송라로14길 132 (신천동)
동대구반도유보라경로당,,35.8761407,128.6186163,대구광역시 동구 송라로16길 11 (신천동)
동대구역우방아이유쉘경로당,,35.8765217,128.6248443,대구광역시 동구 동부로 115 (신천동)
신천4동제2경로당,053-756-9777,35.8753205,128.6303784,대구광역시 동구 동부로32길 47-11 (신천동)
코스모스아파트경로당,053-751-3848,35.8760857,128.6205159,대구광역시 동구 화랑로11길 26 (신천동)
회관경로당,053-959-3731,35.8828761,128.6398713,대구광역시 동구 아양로 50길 50-1 (효목동)
효목경로당,053-959-7822,35.884814,128.6431658,대구광역시 동구 화랑로41길 14 (효목동)
효일경로당,053-942-7273,35.886392,128.6419598,대구광역시 동구 효동로 114-1 (효목동)
진로이스트타운경로당,053-941-2280,35.8847301,128.6379971,대구광역시 동구 아양로 218 (효목동)
강나루타운경로당,053-957-5341,35.8860519,128.6429011,대구광역시 동구 효동로 108 (효목동)
새마을경로당,053-741-0024,35.8762791,128.6429089,대구광역시 동구 화랑로27길 24 (효목동)
효목2동제일경로당,053-756-6914,35.8745721,128.6375244,대구광역시 동구 화랑로19길 97 (효목동)
소목골경로당,053-743-2358,35.877365,128.6355266,대구광역시 동구 효신로8길 48 (효목동)
태왕메트로시티경로당,053-754-0651,35.8802307,128.6391553,대구광역시 동구 동북로 500 (효목동)
평광경로당,053-982-9597,35.9328131,128.7252886,대구광역시 동구 도평로116길 18-3 (평광동)
도동제1경로당,053-983-8845,35.9230251,128.666094,대구광역시 동구 도평로 121 (도동)
도동제2경로당,053-982-0856,35.9217027,128.6738643,대구광역시 동구 팔공로 26길 48 (도동)
에덴경로당,053-985-7303,35.922279,128.677102,대구광역시 동구 팔공로26길 49 (도동)
향산경로당,053-982-0972,35.9303506,128.675383,대구광역시 동구 도평로51길 10 (도동)
봉무청구새들마을아파트경로당,053-981-0048,35.9236968,128.6440593,대구광역시 동구 팔공로 322-5 (봉무동)
불로경로당,053-982-6643,35.9091642,128.6390263,대구광역시 동구 팔공로23길 15 (불로동)
에덴공항경로당,053-984-8469,35.9161476,128.6420727,대구광역시 동구 팔공로29길 10 (불로동)
해서경로당,053-981-2524,35.9157918,128.6438511,대구광역시 동구 팔공로34길 1-2 (불로동)
에덴공항2차APT경로당,053-986-0054,35.9161476,128.6420727,대구광역시 동구 팔공로33길 10 (불로동)
봉무경로당,053-981-8251,35.9285887,128.6406366,대구광역시 동구 팔공로 333-12 (봉무동)
이시아폴리스더샵1차경로당,053-981-8814,35.9308144,128.6532984,대구광역시 동구 팔공로53길 10 (봉무동)
이시아폴리스더샵2차경로당,053-986-8861,35.9249452,128.6421312,대구광역시 동구 팔공로 274 (봉무동)
이시아폴리스더샵3차경로당,053-986-2766,35.9241377,128.6380606,대구광역시 동구 팔공로51길 10  1층 (봉무동)
이시아폴리스더샵4차경로당,053-985-1797,35.9360368,128.6422565,대구광역시 동구 팔공로53길 40 (봉무동)
이시아폴리스협성휴포레경로당,,35.9224312,128.6425712,대구광역시 동구 팔공로260(봉무동 협성휴포레 이시아폴리스)
강산아파트경로당,053-981-0054,35.8951389,128.6398572,대구광역시 동구 해동로5길 23 (지저동)
공항경로당,053-984-5887,35.8960512,128.6421244,대구광역시 동구 공항로 51길 12-4 (지저동)
지저경로당,053-981-5743,35.8964614,128.6364812,대구광역시 동구 해동로2길 34 (지저동)
팔공아파트경로당,053-983-7912,35.893462,128.6366685,대구광역시 동구 해동로 54 (지저동)
부민스위트빌경로당,,35.8963038,128.6357295,대구광역시 동구 해동로2길 37 (지저동)
제림햇빛촌아파트경로당,053-981-6866,35.8932653,128.6387648,대구광역시 동구 공항로52길 28 (지저동)
불로우방아파트경로당,053-985-4015,35.9003178,128.6316321,대구광역시 동구 공항로 150 (불로동)
불로제일경로당,053-984-4985,35.8990966,128.6326897,대구광역시 동구 방천로2길 6 (불로동)
강변타운경로당,053-982-8529,35.8974803,128.6310323,대구광역시 동구 방천로3길 30 (불로동)
제림빌리지APT경로당,,35.8965977,128.6341624,대구광역시 동구 해동로6길 37 (불로동)
입석경로당,053-981-4472,35.8914983,128.6458466,대구광역시 동구 동촌로1길 26 (입석동)
동촌화성타운아파트경로당,053-985-9818,35.9075352,128.6567786,대구광역시 동구 동촌로6길 3 (입석동)
검사제1경로당,053-983-4036,35.8868429,128.6482471,대구광역시 동구 해동로 178 (검사동)
검사제2경로당,053-985-3787,35.8881297,128.6584359,대구광역시 동구 방촌로1길 19 (검사동)
문화아파트경로당,053-985-2661,35.8875912,128.6491618,대구광역시 동구 동촌로14길 14 (검사동)
금사리하이빌경로당,053-981-1162,35.8835824,128.6556422,대구광역시 동구 해동로 254 (검사동)
입석2경로당,053-981-8828,35.8909066,128.6521543,대구광역시 동구 입석로3길 14-1 (입석동)
태왕아너스르네상스 경로당,,35.873412,128.6242705,대구광역시 동구 동촌로 100 (검사동  태왕아너스르네상스아파트)
강변1차아파트경로당,053-985-5623,35.896648,128.677227,대구광역시 동구 동촌로54길 13 (방촌동)
강변2차아파트경로당,053-981-8890,35.8940868,128.6767705,대구광역시 동구 동촌로56길 36 (방촌동)
우방강촌마을APT경로당,053-983-9875,35.8763733,128.6656959,대구광역시 동구 화랑로80길 8 (방촌동)
방촌제1경로당,053-983-0491,35.8789285,128.6648231,대구광역시 동구 동촌로 46길 40 (방촌동)
보성강남아파트경로당,053-981-3343,35.8749198,128.6688377,대구광역시 동구 화랑로88길 30 (방촌동)
방촌우방맨션경로당,,35.8776255,128.6679277,대구광역시 동구 화랑로 407 (방촌동)
우방강촌2차경로당,053-983-3644,35.8757454,128.6703197,대구광역시 동구 화랑로80길 9 (방촌동)
방촌2차영남네오빌APT경로당,,35.8972112,128.6752158,대구광역시 동구 동촌로42길 63 (방촌동)
방촌현대아파트경로당,053-981-8890,35.8769451,128.6736433,대구광역시 동구 화랑로91길 7 (방촌동)
영남네오빌APT경로당,053-981-6416,35.8817136,128.6607378,대구광역시 동구 동촌로 190(방촌동)
방촌청구타운경로당,053-981-1369,35.8796868,128.6632835,대구광역시 동구 화랑로73길 36 (방촌동)
무궁화아파트경로당,053-981-0306,35.8814677,128.6637765,대구광역시 동구 동촌로 222 (방촌동)
동명경로당,,35.8974571,128.6758556,대구광역시 동구 동촌로58길 20 (방촌동)
방촌세영리첼경로당,,35.8794278,128.6676815,대구광역시 동구 동촌로 260(방촌동  방촌역세영리첼아파트)
방촌제2경로당,053-985-5584,35.8963099,128.6776126,대구광역시 동구 둔산로45길 16 (방촌동)
방촌제3경로당,053-981-8229,35.8835337,128.6657335,대구광역시 동구 방촌로1길 102 (방촌동)
방촌제5경로당,053-982-2970,35.8816354,128.6690722,대구광역시 동구 방촌로1길 138-6 (방촌동)
둔산경로당,053-984-2476,35.8984482,128.672135,대구광역시 동구 둔산로51길 140 (둔산동)
상동경로당,053-984-1267,35.899853,128.687004,대구광역시 동구 옻골로20길 31 (둔산동)
대암경로당,053-982-4942,35.9032601,128.6741548,대구광역시 동구 둔산로 328 (둔산동)
명당경로당,053-983-8263,35.8943414,128.6822979,대구광역시 동구 옻골로 38 (부동)
부동경로당,053-984-3917,35.8905563,128.697,대구광역시 동구 부동길 183 (부동)
월천경로당,053-984-4119,35.8897834,128.6834858,대구광역시 동구 부동길 45 (부동)
신평경로당,053-983-2186,35.8783476,128.6839576,대구광역시 동구 신평로16길 57-13 (신평동)
신덕경로당,053-962-5328,35.8836765,128.6931721,대구광역시 동구 신덕로5길 50 (신평동)
동원아파트경로당,053-964-4833,35.8717771,128.7082037,대구광역시 동구 안심로41길 21 (신기동)
모란1차아파트경로당,053-963-3374,35.8673135,128.7066617,대구광역시 동구 율하동로20길 40 (신기동)
모란2차APT경로당,053-963-1377,35.8674507,128.70538,대구광역시 동구 율하동로20길 30  1동 101호 (신기동)
모란3차APT경로당,053-214-2333,35.8689358,128.7052978,대구광역시 동구 율하동로20길 31 (신기동)
신기경로당,053-962-0482,35.8697995,128.7070317,대구광역시 동구 반야월로28길 49-3 (신기동)
천일맨션경로당,053-962-9326,35.8690455,128.7037409,대구광역시 동구 율하동로24길 14 (신기동)
화성아파트경로당,053-962-4097,35.8676149,128.7038729,대구광역시 동구 율하동로20길 20 (신기동)
율하경로당,053-962-9355,35.8717815,128.6990434,대구광역시 동구 반야월로22길 20-2 (율하동)
율하뜨란채경로당,053-965-5733,35.865487,128.6996469,대구광역시 동구 율하동로 67 (율하동)
주공APT4단지경로당,053-961-5210,35.8663605,128.7001779,대구광역시 동구 율하동로 73 (율하동)
율하휴먼시아5단지경로당,,35.8642576,128.6919579,대구광역시 동구 율하서로 59 (율하동)
율하휴먼시아6단지경로당,053-295-4315,35.872393,128.6955546,대구광역시 동구 안심로16길 45 (율하동)
율하휴먼시아7단지경로당,,35.8722858,128.6966121,대구광역시 동구 안심로22길 55 (율하동)
SM안아주아파트경로당,053-964-0900,35.8657144,128.6943814,대구광역시 동구 안심로16길 29 (율하동)
율하휴먼시아15단지경로당,053-202-3919,35.8700117,128.6905279,대구광역시 동구 금호강변로3길 9 (율하동)
율하휴먼시아10단지경로당,,35.8606678,128.7033617,대구광역시 동구 율하동로8길 16 (율하동)
율하휴먼시아11단지경로당,,35.8614442,128.699525,대구광역시 동구 율하동로 19 (율하동)
율하휴먼시아9단지경로당,,35.8722794,128.6976046,대구광역시 동구 안심로22길 76 (율하동)
율하휴먼시아12단지경로당,053-964-0383,35.8649308,128.6933844,대구광역시 동구 금호강변로 315 (율하동)
세계육상선수촌1단지경로당,053-965-1401,35.8619598,128.6904382,대구광역시 동구 율하서로 85 (율하동)
세계육상선수촌2단지경로당,,35.8720406,128.6979939,대구광역시 동구 안심로16길 71 (율하동)
율하우방아이유쉘경로당,,35.8689757,128.687884,대구광역시 동구 금호강변로3길 22 (율하동)
율하롯데캐슬탑클래스경로당,,35.8670749,128.6932375,대구광역시 동구 율하서로 23 (율하동  율하롯데캐슬탑클래스)
율하휴먼시아8단지아파트경로당,,35.8722064,128.6977313,대구광역시 동구 안심로22길 75 (율하동)
매여경로당,053-984-4979,35.9157085,128.7240027,대구광역시 동구 매여로8길 41 (매여동)
백자맨션경로당,053-982-1022,35.8803594,128.6860933,대구광역시 동구 동촌로 346 (용계동)
용계1경로당,053-964-5884,35.8752869,128.6972208,대구광역시 동구 용계로3길 2-7 (용계동)
용계제2경로당,053-961-2276,35.8739906,128.6842636,대구광역시 동구 화랑로108길 1-11 101동 102호(용계동  성창빌리지)
강변동서마을아파트경로당,053-964-4262,35.877095,128.6975685,대구광역시 동구 화랑로100길 17 (용계동)
용계타운아파트경로당,053-962-3778,35.8737332,128.6926904,대구광역시 동구 반야월로6길 20 (용계동)
율암경로당,053-963-5404,35.8771645,128.7027337,대구광역시 동구 반야월북로12길 32 (율암동)
용호경로당,053-981-0087,35.87594,128.6766881,대구광역시 동구 화랑로93길 23-1 (용계동)
율하역엘크루경로당,,35.8803265,128.6995986,대구광역시 동구 안심로7길 7 (용계동)
율하시티프라디움경로당,,35.8745165,128.6920368,대구광역시 동구 반야월로 35 (용계동  율하시티프라디움)
대경넥스빌경로당,053-963-4765,35.8681675,128.727665,대구광역시 동구 안심로 400 (신서동)
동화해오름타운경로당,053-961-5081,35.8677337,128.7263886,대구광역시 동구 동호로 89  204동 (신서동 204)
영조아름다운나날3단지경로당,053-216-5553,35.8663904,128.7314296,대구광역시 동구 동호로 132 (신서동)
영조아름다운나날2단지경로당,053-964-0405,35.8659844,128.7270766,대구광역시 동구 동호로 88 (신서동)
송정경로당,053-964-2662,35.876318,128.7382468,대구광역시 동구 안심로90길 17-1 (괴전동)
금강경로당,053-962-3010,35.8590079,128.7387226,대구광역시 동구 금강로 235 (금강동)
상록아이투빌경로당,053-243-2340,35.8662648,128.7217502,대구광역시 동구 동호로 47 (동호동)
안심역우방아이유쉘아파트경로당,,35.8757519,128.7420058,대구광역시 동구 금강로21길 10 (괴전동  안심역우방아이유쉘)
괴전경로당,,35.8668664,128.7400304,대구광역시 동구 반야월북로 348-2(괴전동)
동호경로당,053-963-3261,35.864766,128.7204649,대구광역시 동구 반야월로 220 (동호동)
서호제2경로당,053-964-5940,35.8704093,128.7113924,대구광역시 동구 안심로51길 14 (서호동)
서호제1경로당,053-964-1680,35.8708968,128.7099233,대구광역시 동구 안심로41길 50-10 (서호동)
서호할머니경로당,053-955-2525,35.8704037,128.7117328,대구광역시 동구 안심로43길 20 (서호동)
안심효성타운APT경로당,053-963-2664,35.8751833,128.713451,대구광역시 동구 경안로 809 (각산동)
금강진우금탑경로당,053-964-9990,35.8735721,128.7172524,대구광역시 동구 반야월북로 175 (각산동)
녹원맨션경로당,053-964-3125,35.8731686,128.7278464,대구광역시 동구 반야월북로 269 (신서동)
신서청구아파트경로당,053-247-4789,35.8746708,128.7275452,대구광역시 동구 반야월북로55길 19 (신서동)
신서그린빌경로당,053-963-8885,35.8736914,128.7247664,대구광역시 동구 반야월북로 251 (신서동)
롯데캐슬레전드경로당,053-294-7818,35.8707589,128.7258309,대구광역시 동구 안심로73길 22 (신서동)
신일해피트리경로당,053-266-7367,35.8712128,128.7300343,대구광역시 동구 반야월로 370 (신서동)
각산태영데시앙경로당,053-964-5454,35.8747112,128.7110773,대구광역시 동구 반야월북로 123 (각산동)
각산푸르지오2단지경로당,053-965-5092,35.8748505,128.7168934,대구광역시 동구 경안로 822 (각산동)
신서퀸덤아파트경로당,,35.8748945,128.7255673,대구광역시 동구 신서로 72 (신서동)
신서화성파크드림아파트경로당,053-965-0936,35.8738691,128.7224195,대구광역시 동구 반야월북로 221 (신서동)
성지경로당,053-965-3892,35.8739622,128.7151107,대구광역시 동구 반야월북로 155 (각산동  성지각산아파트)
각산서한이다음경로당,,35.8739452,128.7163169,대구광역시 동구 반야월북로 167 (각산동  각산서한이다음아파트)
숙천경로당,053-963-6928,35.8770234,128.7563549,대구광역시 동구 숙천로2길 13-5 (숙천동)
내곡경로당,053-962-0600,35.8870078,128.7589566,대구광역시 동구 노실1길 5 (내곡동)
대구혁신LH천년나무3단지경로당,,35.8872537,128.7171773,대구광역시 동구 과학로13길 30 (각산동)
대구혁신LH천년나무6단지경로당,,35.8816399,128.7156,대구광역시 동구 과학로 23 (각산동)
대구신서혁신LH천년나무13.14단지경로당,,35.8813061,128.7526687,대구광역시 동구 초례로 66 (숙천동)
신서혁신행복주택경로당,,35.8739026,128.7509654,대구광역시 동구 메디밸리로 18 (사복동)
대구혁신LH이노힐즈,,35.8760657,128.7485219,대구광역시 동구 메디밸리로 35 (사복동)
대구혁신LH4단지경로당,053-964-1161,35.8856794,128.7188568,대구광역시 동구 경안로 956 (각산동  대구혁신 LH4단지)
대구혁신센텀힐즈경로당,,35.8606695,128.7422705,대구광역시 동구 혁신대로 450 (대림동)
대구혁신도시서한이다음3차경로당,,35.8625307,128.7429991,대구광역시 동구 혁신대로 443 (대림동)
대구혁신제일경로당,,35.8817787,128.7137235,대구광역시 동구 이노밸리로29길 34(각산동)
혁신서한e스테이경로당,,35.8786082,128.7147574,대구광역시 동구 혁신대로 504(사복동  서한e스테이)
내동경로당,053-981-0083,35.9700934,128.6598145,대구광역시 동구 내동로6길 77-15 (내동)
도학1동경로당,,35.9724883,128.7009229,대구광역시 동구 팔공산로 1467 (도학동)
미곡경로당,053-981-1063,35.9608368,128.6870426,대구광역시 동구 용천로 38-7 (미곡동)
미대경로당,,35.9506935,128.666598,대구광역시 동구 팔공로 817 (미대동)
백안경로당,053-982-0592,35.9534069,128.7010352,대구광역시 동구 팔공로207길 47 (백안동)
신무경로당,053-982-8413,35.9854596,128.6726819,대구광역시 동구 용천로 399 (신무동)
용수경로당,053-981-8394,35.9763211,128.6754777,대구광역시 동구 용천로 282 (용수동)
진인1동경로당,053-981-0614,35.9593838,128.7141831,대구광역시 동구 갓바위로12길 35 (진인동)
구암경로당,053-981-1063,35.9522262,128.6754548,대구광역시 동구 구암길 48 (미대동)
도학2동경로당,053-982-0279,35.9660846,128.7049723,대구광역시 동구 도장길 69-6 (도학동)
능성경로당,053-985-8870,35.9653242,128.7432623,대구광역시 동구 지경길 21 (능성동)
신용1동경로당,053-982-5323,35.9810842,128.6458864,대구광역시 동구 용진길 143 (신용동)
덕곡경로당,985-4711,35.9843361,128.6185889,대구광역시 동구 서촌로23길 37-1 (덕곡동)
송정2동경로당,053-981-9777,35.9908502,128.6297246,대구광역시 동구 팔공산로23길 76 (송정동)
송정1동경로당,,35.9902296,128.6239778,대구광역시 동구 팔공산로 375 (송정동)
신용2경로당,053-985-6261,35.9902951,128.644662,대구광역시 동구 파계로120길 63 (신용동)
중대1동경로당,053-984-9209,35.9851071,128.6369556,대구광역시 동구 파계로116길 39  (중대동)
중대2동경로당,053-985-7313,35.9798979,128.6340478,대구광역시 동구 파계로 558-2(중대동)
지묘1동경로당,053-984-3994,35.9429038,128.6396195,대구광역시 동구 파계로16길 29 (지묘동)
지묘2동경로당,053-981-6906,35.9422313,128.6363377,대구광역시 동구 파계로19길 11  B동 2층 202호 (지묘동  로얄빌라)
팔공2차보성아파트경로당,053-243-6900,35.9372999,128.6415429,대구광역시 동구 팔공로101길 55 (지묘동)
팔공보성1차경로당,053-981-0030,35.9377492,128.6387641,대구광역시 동구 팔공로 489 (지묘동)
왕산우방아파트경로당,053-983-4363,35.9395807,128.6405833,대구광역시 동구 파계로6길 30 (지묘동)
화성명산아파트경로당,,35.9442288,128.637901,대구광역시 동구 파계로22길 7 (지묘동)
태왕그린힐즈APT경로당,053-981-1676,35.9391851,128.6391686,대구광역시 동구 파계로 46 (지묘동)
팔공보성3차경로당,053-243-3140,35.9403318,128.6364304,대구광역시 동구 파계로 71 (지묘동)
진인2동경로당,,35.9558184,128.7137902,대구광역시 동구 인산로 67 (진인동)
옥정경로당,,35.9613158,128.6617925,대구광역시 동구 내동로 67 (내동)
태정경로당,,35.9881221,128.691622,대구광역시 동구 팔공산로 1166 (용수동)
대구연경LH천년나무2단지경로당,053-982-0916,35.9472961,128.6267666,대구광역시 동구 연경지묘로 153(지묘동  대구연경LH천년나무2단지)
뉴웰시티 경로당,,35.9409937,128.6320512,대구광역시 동구 동화천로77길 30(지묘동  LH뉴웰시티)
대구혁신도시서한이다음경로당,,35.8842719,128.714422,대구광역시 동구 이노밸리로29길 56(각산동  서한이다음1차)
